"ELEMENT NAME","HIERARCHY ID","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26",
"Steering actuation cylinder second axle","15","0.00013440661320851532","0.00014690766471148198","0.00016516778131836496","0.00016399289699786657","0.00012803561518948126","0.0001858066322953933","0.00017732958273641852","0.00012509512356129182","0.00012512031554856584","0.00012808415253873218","0.00012592980093817374","0.0001256250892900379","0.00013119033796749058","0.00010277659393143068"," ","0.05108536224724536","0.0188735656043989","0.001385622912802198","0.017171202627384363","0.0028474939105684882","0.004226478416881396","0.003721712246592901","0.0029428023778764745","0.005276399322160397","0.0037285141455351","0.004865665881583103",
"Servo valve second axle","16","0.0003497384504153045","0.0003847117680682022","0.0007812274689565912","0.0006431342549761965","0.0003533261415525901","0.0004676576094431173","0.0004464402186131755","0.00031943400825762414","0.0004494244449821938","0.00038728301664558984","0.00038877564784467467","0.00032988654701171516","0.000344259107677658","0.0002669180928274173","0.14444580148055353"," ","0.06589276744352957","0.023119698214348894","0.02711065412689484","0.008842342242020518","0.013817468891509699","0.012236017270997546","0.009891259679914999","0.019288885137109912","0.013499117015569273","0.018449016668175666",
"Pump second axle","17","0.00029349901558750613","0.0003194355864539755","0.00034309330343396116","0.000345593394290411","0.0002713284475361899","0.00040096134670963846","0.0003827482931755277","0.00027464869831839156","0.00026797869611472347","0.0002756867059129364","0.0002695415495795883","0.00027318748333371445","0.0002864942698883599","0.0002243700661880288","0.04697104800211804","0.058155903471110104"," ","0.002171862189828011","0.033518125632966744","0.01350751569846742","0.023051480252481937","0.01833894433143135","0.01263276621044973","0.02675359371465036","0.015995117168420392","0.00902964877981205",
"Hub front axle","18","0.0008155242502951854","0.0010423868113359491","0.01878461207843829","0.01196649051655907","0.0018352884974591754","0.00022196521637696254","0.00021367248635839609","0.00044307147839484085","0.006976953328633906","0.00340574845858177","0.0038075514524917864","0.0008510013096710844","0.0008977621414245629","0.0005037651887305206","0.0002548090558589511","0.00026652802138971143","0.00035504800068886233"," ","0.00023341191207382206","0.008795862295770118","0.015566122541206706","0.010117514898882463","0.0008394066947522427","0.000713977394216303","0.000513205118162996","0.00210810849871379",
"Cooler second axle","19","0.00013233998964123916","0.00014501799504118562","0.00014515165359807458","0.00015105993944575236","0.00012102098705124575","0.00017819211862191153","0.00016999613010304504","0.00012331057556780323","0.0001155150368729041","0.00012103868141921659","0.00011833000700700591","0.00012181345410910982","0.00012781030030506457","0.00009906317192953651","0.017172714764516428","0.009595263410973498","0.013427847551332972","0.00043799177885650575"," ","0.002925521611657711","0.003988175225245305","0.0033446532494566528","0.002353435723695174","0.003752201890548146","0.00261494428430209","0.002120518526856574",
"Wheel second axle","20","0.00010483092826341078","0.00011318636730683895","0.00012489628581924261","0.00012361007989902806","0.00009312675749173494","0.00013834318383720845","0.00013215465935600967","0.00009908785968948397","0.00009719122287032977","0.00009763716952382318","0.00009523820582546527","0.00009669912686804949","0.00010204841688610244","0.00008009293332011946","0.002837268669413029","0.0030556928493862268","0.005404431266627485","0.001026284700493596","0.00292171046291978"," ","0.053774668197067","0.039024394188225786","0.012738021452843307","0.010007580845704411","0.007911243902490983","0.001509681789706896",
"Hub second axle","21","0.0001249999572440208","0.00013753029887497714","0.0003912358940143523","0.0002977074743248931","0.00012794023427697976","0.00015510457043554915","0.0001482034713431446","0.00011354976373612047","0.00019993689989450392","0.00015271610032507876","0.00015588551066147982","0.00011675955500745072","0.00012244832665397887","0.00009404674188162598","0.004210132061847838","0.004766241350825484","0.009232040964219146","0.014630207323613087","0.003984090543476038","0.053878239908307424"," ","0.10295035115796591","0.021759769715317234","0.022154873070725944","0.014585746706964109","0.002217457967906622",
"Steering knuckle second axle","22","0.0001116594644521296","0.00012064510603926326","0.00014807409792294557","0.00014088803646994386","0.00010199300075131035","0.00014786332527860768","0.00014127746564518429","0.00010529075665499654","0.00010911625791276691","0.00010683386285270657","0.0001049579671164036","0.00010347951234290775","0.00010887971841255784","0.00008581226845671974","0.0037099437248144795","0.004247228823915483","0.0073446215224735045","0.0019085675782312128","0.0033397588711040482","0.039025013158466404","0.10284232533886029"," ","0.04127163414255308","0.026200351325836424","0.01807609135355115","0.0022069787215373005",
"Knuckle arm second axle","23","0.00009612934792180283","0.00010368409100058873","0.00011069914574302064","0.00011087681979737862","0.00008705874793535351","0.00012826030671331257","0.0001225574350482983","0.00009064810192238593","0.00008844745998382031","0.00009053137702552672","0.0000880261187030662","0.00008974872542999446","0.00009438656953919544","0.00007467089732449139","0.002942767327667406","0.003491394114005897","0.005061304203287653","0.0007321482424565984","0.0023527364513939997","0.012744737454547628","0.021764436335281134","0.041280478001256116"," ","0.02705614751450358","0.033971112978940954","0.002290060646163661",
"Frame second axle","24","0.0001113884525727471","0.0001221104079246471","0.00029448480382177067","0.00023184744512561029","0.00011254403493998755","0.0001421570616607637","0.00013582089518038298","0.00010181005768805651","0.00015977865755900655","0.00012937254499412187","0.0001307760724685858","0.00010468276172737045","0.00010961341719806228","0.00008501296872009956","0.005278957576089094","0.0068209794082119135","0.010723438877565106","0.010012442148746303","0.003753542735007387","0.010094004949819269","0.022300737143693627","0.026300958426010435","0.027062868694951447"," ","0.041664903525129526","0.003577415580459098",
"Tie rod second axle","25","0.00009526054242270376","0.00010280682528907015","0.00011198514886945343","0.0001114981919231317","0.00008759806068381337","0.00012992800886491018","0.00012412875789902245","0.00008969512736367591","0.00008869815121359537","0.00009074463944125366","0.00008834145489555745","0.00008947683852222887","0.00009393989545480874","0.00007440383415713292","0.003729019503138198","0.004770213127808676","0.006409141741782198","0.0007960341884220012","0.0026146220834523115","0.00791848801097017","0.014594731528425053","0.01808739019285388","0.033972258135926414","0.04166194670094581"," ","0.003338056683436341",
"Angle sensor second axle","26","0.00028150046582975374","0.0003051885650845465","0.0003132355247285057","0.00032077771261451726","0.0002719507675205124","0.00040016918261942536","0.00038211391296461006","0.00024382629280284007","0.00025701729990446065","0.00027316635803820155","0.00026548521613023457","0.00026991033438272805","0.0002813476875500598","0.00022375750979963804","0.015371575271216464","0.02056693671113141","0.01143221562993757","0.0009467974440624527","0.0067074049682642745","0.004779927457180144","0.006934024275534689","0.006980545758570433","0.007243549514062142","0.011253204143255924","0.01055807992323432"," ",
