"ELEMENT NAME","HIERARCHY ID","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26",
"Servo valve front axle","11","0.5674944527388656","0.5674326607269679","0.5676884601047026","0.5674960381918963","0.5670613902571245","0.5671564808170761","0.5671465777753114","0.5675955038768887","0.5685692913068295","0.5676301966750664"," ","0.5678490489477428","0.5690349426315874","0.5680621139087184","0.5668128038642841","0.5668142172754753","0.5668139276852013","0.5677472991064657","0.5668201052850108","0.5668266829098328","0.5668319643359734","0.5668217442420372","0.5668089277729441","0.5668091451042794","0.5668091889292511","0.5668204259975046",
"Pump front axle","12","0.5009950694468603","0.5009608457919565","0.5012229851667174","0.5010638585460615","0.5006463246447299","0.5005093757237359","0.5005064625759118","0.5008237468678436","0.5022120162575983","0.5024155353953973","0.5011119406528987"," ","0.5014802033051434","0.5014613099445158","0.5002147400113555","0.5002193550397003","0.5002189525063999","0.5008389381397691","0.500230198583352","0.5003890087143806","0.5004463123246973","0.5003793912471767","0.5002076500902095","0.5002088706973161","0.5002109557623656","0.5003014369937364",
"Filter front axle","13","0.20030334706188557","0.20030806246855448","0.20040980301943026","0.2003380190146853","0.20022225669329807","0.2001515616984545","0.2001522153497155","0.20032691633024946","0.20061285804560705","0.20067429444021515","0.2005797449618469","0.20037169178388525"," ","0.20057026664245622","0.20007665283307347","0.20007886274236947","0.20007912016173887","0.2004582096011612","0.20008306062565007","0.20008927014669117","0.20009239487211802","0.2000852679316746","0.2000762593094763","0.20007615921007976","0.20007679929034344","0.2000873054337009",
"Cooler front axle","14","0.20016662568129864","0.2001520734409053","0.20022039528174407","0.20017499171241437","0.2001180372239373","0.2000951414400149","0.20009355368262097","0.2001565202705531","0.2003045163356328","0.2003564801252563","0.20031250454682256","0.20034173576786968","0.20051407653957323"," ","0.20003489906861113","0.20003536066263772","0.2000353760961934","0.20017146071825895","0.20003727932646642","0.2000576101188448","0.20006725369457296","0.20005635439728925","0.2000335895647911","0.2000338178584954","0.20003387094121403","0.2000446702886699",
"Steering actuation cylinder second axle","15","0.20004305525062632","0.20004344878545205","0.20004346669139603","0.2000440035940401","0.20004406548398432","0.20003516826269505","0.20003500818510997","0.20004314979910018","0.20004075057709073","0.20003927681601022","0.2000414658887072","0.20004074079380907","0.20003995990752463","0.2000411051619878"," ","0.20018095540021516","0.20048249621906822","0.20019307824261642","0.20029342254714763","0.200201847484417","0.20027597911302467","0.20026241144737794","0.20021099806835366","0.20029343278612893","0.20023484864349128","0.20018836094996048",
"Servo valve second axle","16","0.566774901200884","0.5667773900726799","0.5668122202961587","0.5668060618543221","0.5667789789047843","0.5667611311359614","0.5667601796959788","0.5667727807356797","0.566788242927446","0.5667776667048573","0.5667818259878523","0.5667702020601004","0.5667698012324318","0.5667675433522541","0.567455081527759"," ","0.5674203631099972","0.5667911984905726","0.5677598706573774","0.567392156322538","0.567695005540913","0.5676649202187667","0.5673946022315492","0.5675652909221216","0.5674092557203912","0.5670178480495274",
"Pump second axle","17","0.5001036251770834","0.5001050865489939","0.5001161421397479","0.5001131701016661","0.5001079750877968","0.500090653326954","0.5000899078516019","0.5001028551778716","0.5001038698198378","0.5000990946567704","0.5001035808894169","0.5000997518502784","0.5000985203235093","0.5000991028696998","0.5018883561011692","0.5006761973355652"," ","0.5007433984220526","0.5006215299870711","0.500723355894582","0.5009632262293108","0.5010846791918949","0.5007836091501932","0.5007752474243807","0.5007534093283528","0.5004438599132802",
"Hub front axle","18","0.20012328133412932","0.20014355833677894","0.20009645442867827","0.2001315418327985","0.20003741908258812","0.20003306652751562","0.200033532674841","0.20009476625292802","0.20005159820233978","0.20010877897816393","0.20006815880168985","0.20011437316431457","0.20010993533910754","0.20008315400053642","0.20008241910400484","0.2000952269880447","0.20014033002261514"," ","0.20009221783564354","0.20017922021480322","0.20019836716856496","0.20025724068492678","0.2002246316905672","0.20020337184521514","0.2001784937904981","0.20001557600629982",
"Cooler second axle","19","0.20001516720154602","0.20001537717753237","0.20001683674566834","0.2000162813555981","0.2000148511959487","0.20001598500379433","0.20001571066611815","0.2000148604101477","0.20001562683498691","0.20001556518469168","0.2000153559828504","0.20001528913686373","0.20001558617151471","0.2000146929129927","0.20027860808728515","0.20023813786233866","0.2001520913440255","0.20015649906659125"," ","0.20010980788762903","0.20015745119532696","0.20015819885923367","0.20011629644744647","0.20014850646018223","0.20012186638160115","0.2000836513338242",
"Wheel second axle","20","0.20005928882585786","0.20005973104217467","0.20005655549850015","0.20005863291120218","0.2000630837463452","0.20004470561035784","0.20004483264902775","0.20005969680076746","0.20005451254516107","0.20005279961013475","0.2000568570996883","0.2000557703195405","0.20005388642506164","0.2000572669681123","0.20020654069198704","0.20020278501992417","0.20023671927432732","0.2005008119655602","0.20015866037084284"," ","0.200606195236061","0.20083669936899873","0.2005249143585626","0.2004881369783647","0.20040373085699084","0.20013615712078742",
